rank,code,ticker,company_name,sector,final_exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,gp_missing_review_flag,phase1_top5_flag,phase2_selected_topn_flag,phase3_priority_flag,phase3_handoff_note
57,1961,1961.T,"SANKI ENGINEERING CO.,LTD.",Construction,0.9498103758146607,0.5351246358044675,0.892,0.4546351084812623,0.9209422394320749,0.8169381107491857,1.0,0.9038399483704421,0.0,0.0,0.0,0.0,0.9293605209957886,0.1502894251051941,0.2364829540079367,1.0,-0.0621439205955334,1726008034.3977864,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
58,6417,6417.T,"SANKYO CO.,LTD.",Machinery,0.9497140415944114,0.46390417610877305,0.9109090909090909,0.6387245233399079,0.07454017424975799,0.3058631921824104,1.0,0.914811229428848,0.0,0.0,0.0,0.0,0.8237260682202047,0.1675610369474735,0.333605576328521,0.3333333333333333,0.0035049329864446,2076866637.5,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
59,7917,7917.T,ZACROS Corporation,Chemicals,0.9496749563241619,0.9880220135966332,0.9803636363636363,0.4266929651545036,0.44062600838980315,0.288599348534202,1.0,0.6944175540496934,0.0,0.0,0.0,0.0,4.338036065132955,0.3208238202199227,0.2256603822616062,0.6666666666666666,0.0058117900177939,238887251.66666663,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
60,5393,5393.T,NICHIAS CORPORATION,Glass and Ceramics Products,0.9493374582170689,0.5519585626416316,0.8756363636363637,0.47567389875082183,0.707647628267183,0.30781758957654726,1.0,0.9235237173281704,0.0,0.0,0.0,0.0,0.955548083392607,0.1420911664336826,0.2448519948519948,0.8333333333333334,0.0032354199147339,2331036960.592448,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
61,7649,7649.T,"SUGI HOLDINGS Co.,LTD.",Retail Trade,0.9492256074209257,0.2958886370993849,0.6312727272727273,0.8270874424720579,0.44062600838980315,0.862214983713355,1.0,0.9251371410132301,0.0,0.0,0.0,0.0,0.5816520826533422,0.090073032291746,0.5227154743829466,0.6666666666666666,-0.0753364473431632,2393207116.6666665,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
62,7552,7552.T,HAPPINET CORPORATION,Wholesale Trade,0.9484991509331058,0.5050178051149239,0.7985454545454546,0.6870479947403024,0.707647628267183,0.904885993485342,1.0,0.8273636656986124,0.0,0.0,0.0,0.0,0.884905661906876,0.1159380280562716,0.3699239205612094,0.8333333333333334,-0.0921968603507517,648253933.3333334,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
63,4318,4318.T,"QUICK CO.,LTD.",Services,0.9481227958535159,0.7134995144059566,0.9716363636363636,0.9467455621301775,0.21022910616327847,0.5423452768729642,1.0,0.6005162955792192,0.0,0.0,0.0,0.0,1.2985904460495588,0.2608370162332741,0.850938253822331,0.5,-0.0243737245929763,132203401.66666669,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
64,2664,2664.T,CAWACHI LIMITED,Retail Trade,0.948035200011343,0.8060861120103593,0.44145454545454543,0.6400394477317555,0.707647628267183,0.4342019543973942,1.0,0.7689577282994514,0.0,0.0,0.0,0.0,1.5593440148400604,0.0681486779389143,0.3342518324056492,0.8333333333333334,-0.0123471141210957,400199793.3333333,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
65,8194,8194.T,LIFE CORPORATION,Retail Trade,0.9479996502868933,0.4146973130462933,0.6290909090909091,0.9474030243261012,0.44062600838980315,0.9742671009771987,1.0,0.7921910293643111,0.0,0.0,0.0,0.0,0.740864547895805,0.0896559756740959,0.852329436696746,0.6666666666666666,-0.1642203039499328,477797628.3333333,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
66,6369,6369.T,TOYO KANETSU K.K.,Machinery,0.9475302954476614,0.9057947555843315,0.9516363636363636,0.3418803418803419,0.9209422394320749,0.5449511400651466,1.0,0.7418522103904486,0.0,0.0,0.0,0.0,2.2203929521027295,0.2077213586998878,0.1963491310279376,1.0,-0.0245331678083457,329005731.6666667,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.
