rank,code,ticker,company_name,sector,exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,is_phase1_top5,phase1_top5_name,phase3_handoff_note
687,9332,9332.T,"NISSO HOLDINGS Co.,Ltd.",Services,0.7618126000799601,0.5108449336354808,0.7367272727272727,0.8468113083497699,0.6666666666666666,0.2671009771986971,1.0,0.579864472410455,0.0,0.0,0.0,0.0,0.8930244258956261,0.1049616086167291,0.5576480368333546,0.6666666666666666,0.0093565384001277,117959080.0,False,,False,,Sensitivity reference pool.
688,8225,8225.T,"Takachiho Co.,Ltd.",Wholesale Trade,0.7617122132734881,0.5642602784072516,0.8541818181818182,0.8392504930966469,0.8333333333333334,0.46286644951140066,1.0,0.05356566634398193,0.0,0.0,0.0,0.0,0.9775012866700978,0.132374764110482,0.5423224835556023,0.8333333333333334,-0.0155458622669178,2405433.3333333335,False,,False,,Sensitivity reference pool.
689,5279,5279.T,"NIHON KOGYO CO.,LTD.",Glass and Ceramics Products,0.7616228274190178,0.9239235998705082,0.8145454545454546,0.3175542406311637,0.8333333333333334,0.47785016286644955,1.0,0.23975475959987091,0.0,0.0,0.0,0.0,2.413911721256771,0.1200883769045406,0.1879837675337101,0.8333333333333334,-0.0170922377921687,10933590.0,False,,False,,Sensitivity reference pool.
690,4783,4783.T,"NCD Co.,Ltd.",Information & Communication,0.7616100554769846,0.1774036905147296,0.7109090909090909,0.7287968441814595,1.0,0.5286644951140065,1.0,0.4611164891900613,0.0,0.0,0.0,0.0,0.4133137622618322,0.100883486256405,0.4078702862099605,1.0,-0.0227885205457999,54822273.333333336,False,,False,,Sensitivity reference pool.
691,6200,6200.T,"Insource Co.,Ltd.",Services,0.7615405009020526,0.070573000971188,0.5636363636363636,0.9026955950032872,0.8333333333333334,0.4892508143322476,1.0,0.7470151661826395,0.0,0.0,0.0,0.0,0.2441738040151192,0.0807603150584843,0.690974319173029,0.8333333333333334,-0.0180794753991751,336795160.0,False,,False,,Sensitivity reference pool.
692,7607,7607.T,"Shinwa Co.,Ltd.",Wholesale Trade,0.7614858713796322,0.6406604078989965,0.596,0.2836949375410914,0.6666666666666666,0.9322475570032573,1.0,0.48693126815101645,0.0,0.0,0.0,0.0,1.1124946465299277,0.0845454325809305,0.1772188989189991,0.6666666666666666,-0.1093615712926345,65014403.333333336,False,,False,,Sensitivity reference pool.
693,3395,3395.T,"Saint Marc Holdings Co.,Ltd.",Retail Trade,0.7613883286254954,0.2874716736808028,0.2389090909090909,0.9197896120973044,0.6666666666666666,0.7674267100977199,1.0,0.7253952888028397,0.0,0.0,0.0,0.0,0.5727975466472499,0.0471187595181857,0.7445843903229621,0.6666666666666666,-0.0533080996113928,286046453.3333333,False,,False,,Sensitivity reference pool.
694,7087,7087.T,"WILLTEC Co.,Ltd.",Services,0.7612182163306657,0.5668501133052768,0.6065454545454545,0.752465483234714,1.0,0.5436482084690554,1.0,0.13520490480800257,0.0,0.0,0.0,0.0,0.9819027952987138,0.0863237970111548,0.4292376317923763,1.0,-0.0244982141958851,4908076.666666667,False,,False,,Sensitivity reference pool.
695,3092,3092.T,"ZOZO,Inc.",Retail Trade,0.7610574570093774,0.0165101974749109,0.2705454545454545,0.9746877054569362,0.5,0.8827361563517915,1.0,0.9593417231364957,0.0,0.0,0.0,0.0,0.1186546389171456,0.050902926738735,1.055918215217507,0.5,-0.0817280194010386,5356770378.154297,False,,False,,Sensitivity reference pool.
696,3050,3050.T,"DCM Holdings Co.,Ltd.",Retail Trade,0.7610247010183848,0.770152152800259,0.5945454545454546,0.2866535174227482,0.6666666666666666,0.4876221498371336,1.0,0.797999354630526,0.0,0.0,0.0,0.0,1.454906962184349,0.0844613753421997,0.1777088392827439,0.6666666666666666,-0.0179530397919684,508394780.0,False,,False,,Sensitivity reference pool.
697,5214,5214.T,"Nippon Electric Glass Co.,Ltd.",Glass and Ceramics Products,0.7608736860749049,0.5645840077695047,0.3843636363636363,0.1097961867192636,1.0,0.5872964169381107,1.0,0.9567602452404002,0.0,0.0,0.0,0.0,0.9776307078586786,0.0621376869201745,0.1140697420777772,1.0,-0.0293460577870448,4979816046.666667,False,,False,,Sensitivity reference pool.
698,3676,3676.T,"DIGITAL HEARTS HOLDINGS Co.,Ltd.",Information & Communication,0.7608656940705826,0.2829394626092587,0.1883636363636363,0.8155818540433925,0.8333333333333334,0.9442996742671009,1.0,0.5382381413359149,0.0,0.0,0.0,0.0,0.5653688002706719,0.0407583873383424,0.5081710860778897,0.8333333333333334,-0.1193057119471109,89646230.0,False,,False,,Sensitivity reference pool.
699,8125,8125.T,"Wakita & Co.,LTD.",Wholesale Trade,0.7604829750199936,0.7005503399158304,0.208,0.3122945430637738,0.8333333333333334,0.8087947882736156,1.0,0.7376573088092934,0.0,0.0,0.0,0.0,1.2562897184916684,0.0432015112305155,0.1864339844893679,0.8333333333333334,-0.0610066715377314,320485041.6666667,False,,False,,Sensitivity reference pool.
