code,fiscal_year,eps,bps,dps,eps_tag,bps_tag,source
1941,2025,366.88,4183.81,120.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1942,2025,207.35,1799.74,82.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1944,2025,236.26,3014.06,90.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1945,2025,86.65,2054.31,52.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1946,2025,115.66,1472.09,130.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1948,2025,309.66,2497.34,84.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1950,2025,223.84,3335.76,90.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1951,2025,128.97,1551.71,63.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1952,2025,211.62,1527.53,110.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1959,2025,408.36,4384.3,140.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1960,2025,113.86,1984.17,40.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1961,2025,326.31,2051.62,165.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1963,2025,-1.65,1616.43,40.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1964,2025,407.61,3858.93,150.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1965,2025,344.9,2516.4,100.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1966,2025,362.01,2764.84,70.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1967,2025,158.26,1659.06,45.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1968,2025,482.81,5452.67,175.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1969,2025,416.15,2720.64,167.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1972,2025,762.84,7029.63,380.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1975,2025,241.95,1631.8,120.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1976,2025,174.68,1440.69,60.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1979,2025,169.44,2282.91,144.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1980,2025,406.82,2495.45,163.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1981,2025,103.96,1792.41,42.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1982,2025,265.06,3202.02,94.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1992,2025,185.95,2682.97,70.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1994,2025,23.85,1362.59,20.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1997,2025,393.9,3735.93,110.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
2001,2025,317.27,3102.27,66.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
2002,2025,117.33,1674.04,55.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
2003,2025,389.96,5420.25,280.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
2004,2025,356.01,4156.73,100.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
2009,2025,48.62,1578.06,49.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
2053,2025,118.49,2279.95,52.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
2055,2025,17.12,1006.95,6.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
2060,2025,140.84,1429.04,35.5,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
2108,2025,215.15,5928.75,80.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
