code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
1447,2025,3044362000.0,23209000.0,2753915000.0,29584000.0,671386000.0,523729000.0,5166011000.0,3865174000.0,ok,9031185000.0
1450,2023,2101764000.0,5620748000.0,939994000.0,,60157000.0,31762000.0,,,ok,
1450,2024,2220620000.0,6363024000.0,982311000.0,,134324000.0,52648000.0,,,ok,
1450,2025,3935515000.0,7591352000.0,975422000.0,,38928000.0,51369000.0,,,ok,
1491,2023,3418230000.0,1009824000.0,1851529000.0,,121467000.0,101197000.0,1615296000.0,152383000.0,ok,1767679000.0
1491,2024,3279991000.0,940237000.0,2359567000.0,,105324000.0,64424000.0,1274005000.0,730438000.0,ok,2004443000.0
1491,2025,4141237000.0,2014850000.0,2806223000.0,,88504000.0,118845000.0,1538746000.0,1177532000.0,ok,2716278000.0
1514,2023,3937000000.0,17522000000.0,5858000000.0,,48000000.0,106000000.0,2900000000.0,,ok,2900000000.0
1514,2024,18717000000.0,24346000000.0,5336000000.0,0.0,47000000.0,108000000.0,43000000.0,,ok,43000000.0
1514,2025,15351000000.0,25254000000.0,4921000000.0,,209000000.0,127000000.0,,,ok,
1515,2023,39729000000.0,106385000000.0,70276000000.0,823000000.0,8572000000.0,5485000000.0,22775000000.0,1117000000.0,ok,23892000000.0
1515,2024,37056000000.0,109759000000.0,70811000000.0,929000000.0,6734000000.0,6013000000.0,17149000000.0,2514000000.0,ok,19663000000.0
1515,2025,37789000000.0,115864000000.0,84286000000.0,969000000.0,21272000000.0,8404000000.0,12685000000.0,9771000000.0,ok,22456000000.0
1518,2023,38064000000.0,41174000000.0,12747000000.0,,725000000.0,1788000000.0,8789000000.0,5814000000.0,ok,14603000000.0
1518,2024,25983000000.0,52653000000.0,15112000000.0,,1578000000.0,1484000000.0,4576000000.0,4377000000.0,ok,8953000000.0
1518,2025,8973000000.0,59875000000.0,15246000000.0,,1475000000.0,1394000000.0,30028000000.0,3056000000.0,ok,33084000000.0
1605,2023,336000000.0,844309000000.0,218603000000.0,3564000000.0,335100000000.0,14448000000.0,37891000000.0,557111000000.0,ok,595002000000.0
1605,2024,468000000.0,1006025000000.0,8860000000.0,20144000000.0,14300000000.0,11371000000.0,123641000000.0,549083000000.0,ok,672724000000.0
