code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
6080,2025,43990621000.0,38610630000.0,839047000.0,,86821000.0,270361000.0,,,ok,
6081,2025,1528242000.0,-437022000.0,29923000.0,,75571000.0,104225000.0,162864000.0,276149000.0,ok,439013000.0
6082,2025,6554597000.0,6937694000.0,663638000.0,,379676000.0,280524000.0,610942000.0,1038725000.0,ok,1649667000.0
6083,2025,5719588000.0,5657041000.0,1593189000.0,,495000000.0,238226000.0,1165247000.0,1323085000.0,ok,2488332000.0
6085,2026,89552000.0,-2611738000.0,,,6384000.0,19862000.0,262760000.0,146899000.0,ok,409659000.0
6086,2026,4659545000.0,5315146000.0,415473000.0,,77000000.0,99048000.0,100000000.0,110000000.0,ok,210000000.0
6087,2025,4143252000.0,4686749000.0,1997091000.0,103000000.0,231000.0,127832000.0,10000000.0,,ok,10000000.0
6088,2025,6945511000.0,12486582000.0,575020000.0,,529884000.0,243989000.0,,,ok,
6089,2025,346000000.0,10130000000.0,166000000.0,,350000000.0,156000000.0,3783000000.0,2602000000.0,ok,6385000000.0
6090,2025,1594314000.0,585003000.0,284952000.0,177052000.0,149900000.0,103812000.0,100000000.0,,ok,100000000.0
6091,2025,9567755000.0,7083516000.0,3029197000.0,56000000.0,150000000.0,271432000.0,,,ok,
6092,2025,3263030000.0,4149175000.0,8827861000.0,27290000.0,1268979000.0,479706000.0,3454938000.0,6643942000.0,ok,10098880000.0
6093,2026,2292156000.0,2559482000.0,263468000.0,,241962000.0,260375000.0,,,ok,
6094,2025,16367521000.0,6012767000.0,681838000.0,,959617000.0,1054376000.0,8716289000.0,8354834000.0,ok,17071123000.0
6096,2025,2552993000.0,846064000.0,105331000.0,,97106000.0,222266000.0,931368000.0,1157128000.0,ok,2088496000.0
6098,2025,173433000000.0,1232969000000.0,129000000.0,168300000000.0,86900000000.0,,633941000000.0,200000000000.0,ok,833941000000.0
6099,2025,6821116000.0,13510874000.0,1398387000.0,,108049000.0,1217956000.0,462799000.0,365827000.0,ok,828626000.0
6101,2025,3311000000.0,9636000000.0,1965000000.0,1599000000.0,2241000000.0,4000000.0,6800000000.0,,ok,6800000000.0
