code,company_name,sector_33,fiscal_year,decision_anchor_date,market_equity_pti,moat_p,change_p,future_p,price_p,total_equal25,total_current_weights,future_return_252d
9268,OPTIMUS GROUP COMPANY LIMITED,Wholesale Trade,2023,2023-06-24,4047180215.0,26.603596404050272,11.236506378802748,19.479882237487733,96.85966633954858,38.54491283997233,31.163120138094374,1.242440539201307
9270,Valuence Holdings Inc.,Wholesale Trade,2023,2023-11-28,18257089400.0,36.88489594731374,75.02453385672227,19.479882237487733,32.630029440628064,41.00483537053795,40.560071335715215,-0.4745042507762805
9272,"Boutiques,Inc.",Services,2023,2023-06-27,13257533500.0,80.03280959986212,75.02453385672227,49.656526005888125,18.13052011776251,55.71109739505876,60.38251216357001,-0.3965973534971644
9273,"KOA SHOJI HOLDINGS CO.,LTD.",Wholesale Trade,2023,2023-09-30,28248118840.0,74.41017174342858,75.02453385672227,19.479882237487733,51.17762512266928,55.02305324007696,54.599793426855854,-0.0997380515785364
9274,"KPP GROUP HOLDINGS CO.,LTD.",Wholesale Trade,2023,2023-06-30,46436891272.0,33.13730687735652,35.59862610402355,19.479882237487733,83.61138370951913,42.956799732096734,37.22652081688703,0.2135645195331668
9278,BOOKOFF GROUP HOLDINGS LIMITED,Retail Trade,2023,2023-08-29,23914440000.0,41.62516490350448,35.59862610402355,19.479882237487733,59.02845927379784,38.933033129703404,36.08543955937323,0.0942339466122332
9279,GIFT HOLDINGS INC.,Retail Trade,2023,2024-02-01,58296265232.0,74.84508417970005,75.02453385672227,19.479882237487733,11.310107948969579,45.16490205571991,48.75013958168233,0.2577373220564749
9301,Mitsubishi Logistics Corporation,Warehousing and Harbor Transportation Service,2023,2023-06-30,55305797251.05939,60.75887795264015,75.02453385672227,19.479882237487733,97.5711481844946,63.20861055783619,57.463433748893124,0.5447914683274788
9302,"MITSUI-SOKO HOLDINGS Co.,Ltd.",Warehousing and Harbor Transportation Service,2023,2023-06-24,28937920005.499756,56.09302881359987,75.02453385672227,19.479882237487733,96.54072620215898,61.78454277749222,55.9091157098307,0.4117834303361138
9303,"The Sumitomo Warehouse Co.,Ltd.",Warehousing and Harbor Transportation Service,2023,2023-06-30,187983478720.0,69.24750471354909,75.02453385672227,19.479882237487733,72.252208047105,59.00103221371603,56.21218075655736,0.1813605285768984
9304,Shibusawa Logistics Corporation,Warehousing and Harbor Transportation Service,2023,2023-06-30,10612843606.0,44.7409581705428,75.02453385672227,19.479882237487733,96.41805691854759,58.9158577958251,52.48509412437187,0.1283036075345924
9305,Yamatane Corporation,Wholesale Trade,2023,2023-06-22,8655903418.5,41.85199402315238,75.02453385672227,19.479882237487733,95.19136408243376,57.88694354994904,51.43440095473767,0.8302852696459377
