code,negative_book_equity,net_loss_current_year,net_loss_prior_year,two_year_net_loss,operating_cf_negative_current_year,operating_cf_negative_prior_year,two_year_ocf_loss,operating_income_negative,current_liabilities_gt_current_assets,liabilities_to_assets_high,equity_ratio_low,going_concern_flag_if_available,distress_exclusion_flag,distress_review_flag,distress_reason
5208,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7979,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3969,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6432,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6652,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6104,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6497,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4047,False,False,True,False,False,False,False,False,,False,False,False,False,False,
6039,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7318,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6230,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6840,False,False,False,False,True,True,True,False,,False,False,False,False,True,two_year_ocf_loss
4626,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7877,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3912,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6952,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4204,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5589,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6862,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4746,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6919,False,False,False,False,False,False,False,False,,False,False,False,False,False,
1723,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7701,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7003,False,False,False,False,False,True,False,False,,False,False,False,False,False,
2477,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9790,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7727,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6637,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6543,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6504,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6407,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6226,False,False,False,False,False,False,False,False,,False,False,False,False,False,
2323,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6629,False,True,False,False,False,False,False,False,,False,False,False,False,False,
5261,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6231,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6137,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7088,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6958,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6904,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4187,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4620,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6246,False,False,False,False,True,False,False,False,,False,False,False,False,False,
6954,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4082,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9024,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6677,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9651,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6465,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6727,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6224,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3445,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6986,False,False,True,False,False,False,False,True,,False,False,False,False,True,operating_income_negative
6947,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7989,False,False,False,False,False,False,False,False,,False,False,False,False,False,
