code,ticker,company_name,sector_33,total_assets,doc_id,gross_profit,revenue,cost_of_sales,gp_method,gp_tag,revenue_tag,cost_tag,gross_profitability,gross_profitability_available,gross_profitability_review_flag
1446,1446.T,"CANDEAL Co.,Ltd.",Construction,6282008000.0,S100XBZH,5013437000.0,13860556000.0,8847118000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.7980628168572851,True,False
7037,7037.T,teno.Holdings Company Limited,Services,10429000000.0,S100XRYQ,2973000000.0,18129000000.0,15155000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.28507047655575796,True,False
3546,3546.T,"Alleanza Holdings Co.,Ltd.",Retail Trade,126750000000.0,S100Y68G,57425000000.0,146093000000.0,93175000000.0,direct_gross_profit,OperatingGrossProfit,NetSales,CostOfSales,0.45305719921104537,True,False
8043,8043.T,Starzen Company Limited,Wholesale Trade,171916000000.0,S100W6HO,41882000000.0,436112000000.0,394230000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.24361897670955582,True,False
3058,3058.T,Sanyodo Holdings Inc.,Retail Trade,12410023000.0,S100W4O7,5341816000.0,16605085000.0,11263268000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.43044368249760695,True,False
2376,2376.T,SCINEX CORPORATION,Services,14810916000.0,S100W5ML,6265848000.0,16491468000.0,10225620000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.4230560756674334,True,False
7976,7976.T,"MITSUBISHI PENCIL COMPANY,LIMITED",Other Products,183297000000.0,S100XRVX,44522000000.0,89814000000.0,45291000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.24289541018129046,True,False
9849,9849.T,KYODO PAPER HOLDINGS,Wholesale Trade,9521477000.0,S100W59R,2004485000.0,16888324000.0,14883838000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2105224851144418,True,False
7504,7504.T,KOHSOKU CORPORATION,Wholesale Trade,61246965000.0,S100VZBQ,23041012000.0,115915464000.0,92874452000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.3761984287711236,True,False
9419,9419.T,"WirelessGate,Inc.",Information & Communication,4412476000.0,S100XSUO,4434240000.0,8348613000.0,3914373000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,1.004932378102453,True,False
7459,7459.T,MEDIPAL HOLDINGS CORPORATION,Wholesale Trade,1824984000000.0,S100W5ET,255758000000.0,3671328000000.0,3415569000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.1401425985104527,True,False
8173,8173.T,Joshin Corporation,Retail Trade,244313000000.0,S100W56V,102212000000.0,403259000000.0,301047000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.4183649662523075,True,False
4415,4415.T,"BROAD ENTERPRISE CO.,LTD.",Information & Communication,10768982000.0,S100XSGS,2963474000.0,7413568000.0,4450093000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2751860853700006,True,False
9989,9989.T,"SUNDRUG CO.,LTD.",Retail Trade,469507000000.0,S100VZPP,204087000000.0,801811000000.0,597723000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.4346836149407783,True,False
