code,company_name,sector,bm_raw,ep_raw,market_equity_final,anomaly_flags
3787,"Techno Mathematical Co.,Ltd.",Information & Communication,,,860876000.0,book_equity_market_equity_scale_check
5856,"Life Intelligent Enterprise Holdings Co.,Ltd.",Retail Trade,4.190649271975942,0.7282220530743929,762646500.0,extreme_high_ep_top1pct
4575,"CanBas Co.,Ltd.",Pharmaceutical,,,11683970915.0,book_equity_market_equity_scale_check
4438,Welby Inc.,Information & Communication,,,2176478066.0,book_equity_market_equity_scale_check
3667,"enish,inc.",Information & Communication,,,1363409760.0,book_equity_market_equity_scale_check
6573,CRAVIA Inc.,Services,,,976867320.0,book_equity_market_equity_scale_check
3237,"INTRANCE CO.,LTD.",Real Estate,,,3254466880.0,book_equity_market_equity_scale_check
7603,"Gyet Co.,Ltd.",Retail Trade,,,5215793660.0,book_equity_market_equity_scale_check
6731,PIXELA CORPORATION,Electric Appliances,,,14127926088.0,book_equity_market_equity_scale_check
2667,"ImageONE Co.,Ltd.",Wholesale Trade,,,2695929600.0,book_equity_market_equity_scale_check
6721,Wintest Corp.,Electric Appliances,,,4528280800.0,book_equity_market_equity_scale_check
3750,"ADR120S,Inc.",Information & Communication,,,7160431638.0,book_equity_market_equity_scale_check
3810,"CyberStep Holdings,Inc.",Information & Communication,,,4245538944.0,book_equity_market_equity_scale_check
4564,"OncoTherapy Science,Inc.",Pharmaceutical,4.719379191781941,,5830515600.0,extreme_high_bm_top1pct
2656,Vector HOLDINGS Inc.,Retail Trade,,,4333403400.0,book_equity_market_equity_scale_check
9348,"ispace,inc.",Services,,,62229053124.0,book_equity_market_equity_scale_check
7063,Birdman Inc.,Services,,,1738020500.0,book_equity_market_equity_scale_check
2338,"Quantum Solutions Co.,Ltd.",Information & Communication,,,6682073448.0,book_equity_market_equity_scale_check
2134,"Kitahama Capital Partners Co.,Ltd.",Services,,,15163595804.0,book_equity_market_equity_scale_check
2721,J-Holdings Corp.,Wholesale Trade,,,1131427500.0,book_equity_market_equity_scale_check
4594,"BrightPath Biotherapeutics Co.,Ltd.",Pharmaceutical,,,5045830200.0,book_equity_market_equity_scale_check
4882,Perseus Proteomics Inc.,Pharmaceutical,,,2256673500.0,book_equity_market_equity_scale_check
4582,SymBio Pharmaceuticals Limited,Pharmaceutical,,,5383312950.0,book_equity_market_equity_scale_check
