code,ticker,company_name,company_name_ja,market,sector_33,sector_17,scale_category,is_financial,revenue,operating_income,ordinary_income,net_income,total_assets,equity,operating_cf,investing_cf,financing_cf,rd_expense,capex,employees,revenue_growth,operating_income_growth,operating_margin,roe,equity_ratio,ocf_margin,rd_ratio,capex_ratio,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,shares_outstanding,ebitda
1762,1762.T,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",株式会社髙松コンストラクショングループ,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Small 2,False,349281000000.0,16843000000.0,10619000000.0,6463000000.0,269725000000.0,137756000000.0,5132000000.0,,5458000000.0,,,4981.0,0.09645042235150103,-0.01889493399968145,0.04822191874164355,0.046916286767908474,0.5107275929187135,0.014693040846768075,,,,,,,,,,,
1764,1764.T,KUDO CORPORATION,工藤建設株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,22499325000.0,1292493000.0,616725000.0,483115000.0,16970783000.0,5379491000.0,-2138218000.0,,1247446000.0,,,762.0,0.07196297935859453,0.19379394208409706,0.057445856709034605,0.08980682373109278,0.31698543314118155,-0.09503476215397573,,,,,,,,,,,
1766,1766.T,TOKEN CORPORATION,東建コーポレーション株式会社,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Small 1,False,369126000000.0,29666000000.0,22752000000.0,15778000000.0,228663000000.0,133751000000.0,22714000000.0,,-3367000000.0,,,5877.0,0.07611194677009392,0.35160520414475105,0.08036822114941782,0.1179654731553409,0.5849262889055072,0.06153454376012527,,,,,,,,,,,
1768,1768.T,SONEC CORPORATION,株式会社ソネック,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,15196596000.0,658749000.0,737189000.0,500854000.0,12897052000.0,9059125000.0,-654009000.0,,-219737000.0,,,130.0,-0.0821783732275817,-0.16295786408607138,0.043348457773043386,0.05528723800587805,0.7024182735713557,-0.04303654581591825,,,,,,,,,,,
1770,1770.T,"FUJITA ENGINEERING CO.,LTD.",藤田エンジニアリング株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,34940652000.0,2951708000.0,3123865000.0,1787461000.0,31281024000.0,18984443000.0,1128664000.0,,-1105701000.0,,,610.0,0.09734075101058104,0.30444683876065426,0.08447775960219632,0.09415398703032794,0.6068996654329475,0.03230231651086534,,,,,,,,,,,
1776,1776.T,"SUMIKEN MITSUI ROAD CO., LTD.",三井住建道路株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,31590000000.0,224000000.0,270000000.0,167000000.0,24585000000.0,13560000000.0,-3146000000.0,,-402000000.0,,,428.0,-0.032199244855933284,-0.5285954792089683,0.00709085153529598,0.012315634218289085,0.5515558267236119,-0.09958847736625515,,,,,,,,,,,
1780,1780.T,YAMAURA CORPORATION,株式会社　ヤマウラ,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Small 2,False,35640988000.0,5252014000.0,3968053000.0,3002397000.0,30835545000.0,23268906000.0,79698000.0,,-283276000.0,,,449.0,0.06519998469241273,0.2369516669651206,0.14735882181492838,0.1290304322859012,0.7546130934283795,0.0022361332968659567,,,,,,,,,,,
1783,1783.T,"Fantasista Co.,Ltd.",株式会社ｆａｎｔａｓｉｓｔａ,Standard Market(Domestic),Real Estate,REAL ESTATE,,False,9422342000.0,779735000.0,-412850000.0,-449186000.0,10187889000.0,-7326454000.0,2462605000.0,,-2649015000.0,,,28.0,-0.056563071513716756,-0.40085311365025167,0.08275384187922706,0.06131015085879199,-0.7191336693990286,0.2613580572643192,,,,,,,,,,,
1786,1786.T,Oriental Shiraishi Corporation,オリエンタル白石株式会社,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Small 2,False,64887000000.0,5434000000.0,5560000000.0,3839000000.0,85645000000.0,51268000000.0,7803000000.0,,-2895000000.0,,,1145.0,0.02380202381089891,0.019608780952164118,0.0837455884845963,0.07488101739876726,0.5986105435226808,0.12025521290859494,,,,,,,,,,,
1787,1787.T,"Nakabohtec Corrosion Protecting Co.,Ltd.",株式会社ナカボーテック,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,14725604000.0,3784685000.0,1502765000.0,1047212000.0,12146221000.0,8730632000.0,692496000.0,,-590640000.0,,,274.0,0.019835724939896382,0.0526015657711143,0.2570139058472576,0.1199468721164745,0.7187941006507291,0.047026661860525384,,,,,,,,,,,
1788,1788.T,SANTO CORPORATION,株式会社三東工業社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,8199727000.0,327031000.0,338427000.0,238259000.0,5086929000.0,3429963000.0,79862000.0,,-75750000.0,,,121.0,0.07733608193843722,-0.021574186169062814,0.03988315708559566,0.06946401462639684,0.6742698787421645,0.009739592549849525,,,,,,,,,,,
