ticker,latest_date,close,adj_close,volume,avg_trading_value_60d,history_days
4776.T,2026-06-01,2597.0,2597.0,574700.0,1370849053.3333333,1222
4777.T,2026-06-01,217.0,217.0,92300.0,10029408.333333334,1222
4783.T,2026-06-01,2323.0,2323.0,37100.0,54822273.333333336,1222
4784.T,2026-06-01,508.0,508.0,1715600.0,787592378.3333334,1222
4792.T,2026-06-01,1636.0,1636.0,19800.0,45333990.0,1222
4800.T,2026-06-01,1328.0,1328.0,324900.0,139246386.66666666,1222
4801.T,2026-06-01,2276.0,2276.0,18700.0,43831528.333333336,1222
4809.T,2026-06-01,1929.0,1929.0,32300.0,48090870.0,1222
4811.T,2026-06-01,763.0,763.0,12200.0,17756260.0,630
4812.T,2026-06-01,2186.0,2186.0,724600.0,848790408.3333334,1222
4813.T,2026-06-01,499.0,499.0,177500.0,107282075.0,1222
4814.T,2026-06-01,168.0,168.0,57400.0,84323261.66666667,1222
4816.T,2026-06-01,2369.0,2369.0,320500.0,1178478283.3333333,1222
4819.T,2026-06-01,2051.0,2051.0,298700.0,848669791.6666666,1222
4820.T,2026-06-01,484.0,484.0,269600.0,99177771.66666667,1222
4825.T,2026-06-01,2061.0,2061.0,237400.0,448546900.0,1222
4826.T,2026-06-01,478.0,478.0,258800.0,163405246.66666666,1222
4828.T,2026-06-01,1047.0,1047.0,154100.0,208574455.0,1222
4829.T,2026-06-01,104.0,104.0,565600.0,38990518.333333336,1222
4832.T,2026-06-01,1970.0,1970.0,29200.0,32086111.666666668,1222
4833.T,2026-06-01,52.0,52.0,327500.0,100922730.0,1222
4838.T,2026-06-01,675.0,675.0,65000.0,45011256.666666664,1222
4839.T,2026-06-01,1000.0,1000.0,151100.0,122055703.33333333,1222
4840.T,2026-06-01,849.0,849.0,128100.0,360887193.3333333,1222
4845.T,2026-06-01,337.0,337.0,30700.0,15087450.0,1222
4847.T,2026-06-01,941.0,941.0,13900.0,61041475.0,1222
4848.T,2026-06-01,1511.0,1511.0,140900.0,183702356.66666666,1222
4849.T,2026-06-01,1271.0,1271.0,174800.0,236035853.33333334,1222
4880.T,2026-06-01,322.0,322.0,152200.0,28764231.666666668,1222
4881.T,2026-06-01,58.0,58.0,430000.0,198747886.66666666,1222
4882.T,2026-06-01,153.0,153.0,452200.0,273357698.3333333,1207
4883.T,2026-06-01,43.0,43.0,1725000.0,215029953.33333334,1222
4884.T,2026-06-01,385.0,385.0,247400.0,463439941.6666667,1222
4885.T,2026-06-01,1003.0,1003.0,80500.0,71591108.33333333,1222
4886.T,2026-06-01,2717.0,2717.0,85900.0,319288665.0,1222
4887.T,2026-06-01,1732.0,1732.0,485600.0,848996655.8333334,1222
4888.T,2026-06-01,339.0,339.0,650300.0,1609617806.6666667,1222
4889.T,2026-06-01,1310.0,1310.0,362200.0,844572040.0,1144
4890.T,2026-06-01,249.0,249.0,20100.0,262706766.66666666,962
4891.T,2026-06-01,129.0,129.0,419200.0,42905671.666666664,860
4892.T,2026-06-01,582.0,582.0,78100.0,67879095.0,854
4893.T,2026-06-01,135.0,135.0,1168600.0,115232691.66666667,713
4894.T,2026-06-01,4560.0,4560.0,218000.0,1056437108.3333334,714
4896.T,2026-06-01,691.0,691.0,47400.0,54084976.666666664,638
4901.T,2026-06-01,3381.0,3381.0,6094800.0,16797339932.5,1222
4902.T,2026-06-01,603.2999877929688,603.2999877929688,3356100.0,1978231292.6737468,1222
4911.T,2026-06-01,2615.0,2615.0,4735900.0,9933459363.333334,1222
4912.T,2026-06-01,1594.5,1594.5,966500.0,2043935345.0,1222
4914.T,2026-06-01,1093.0,1093.0,277700.0,222915165.0,1222
4917.T,2026-05-19,3085.0,3085.0,0.0,480976775.0,1213
4918.T,2026-06-01,264.0,264.0,25600.0,7360753.333333333,1222
4919.T,2026-06-01,2605.0,2605.0,147400.0,310390416.6666667,1222
4920.T,2026-06-01,1180.0,1180.0,500.0,2260233.3333333335,1222
4922.T,2026-06-01,5354.0,5354.0,465300.0,1676975191.6666667,1222
4923.T,2026-06-01,1079.0,1079.0,44000.0,58192455.0087382,1222
4925.T,2026-06-01,1705.0,1705.0,900.0,3281358.3333333335,1222
4926.T,2026-06-01,1201.0,1201.0,900.0,2823420.0,1222
4927.T,2026-06-01,1281.5,1281.5,771200.0,733567020.8333334,1222
4928.T,2026-06-01,4345.0,4345.0,92900.0,329607316.6666667,1222
4929.T,2026-06-01,730.0,730.0,6000.0,9885530.0,1222
4931.T,2026-06-01,1890.0,1890.0,41200.0,57874173.333333336,1222
4932.T,2026-06-01,641.0,641.0,93500.0,34578188.333333336,1205
4933.T,2026-06-01,1290.0,1290.0,86300.0,123226056.66666667,1222
4934.T,2026-06-01,615.0,615.0,17900.0,28685771.666666668,1222
4935.T,2026-06-01,233.0,233.0,343900.0,116905315.0,1222
4936.T,2026-06-01,333.0,333.0,37800.0,17318980.0,1222
4937.T,2026-06-01,1587.0,1587.0,6900.0,7782761.666666667,1202
4951.T,2026-06-01,1446.0,1446.0,44700.0,65158291.666666664,1222
4956.T,2026-06-01,1391.0,1391.0,181200.0,169233188.33333334,1222
4958.T,2026-06-01,3050.0,3050.0,80100.0,249179861.66666666,1222
4960.T,2026-06-01,605.0,605.0,43700.0,126047776.66666667,1222
4966.T,2026-06-01,23300.0,23300.0,53500.0,1321243000.0,1222
4967.T,2026-06-01,5810.0,5810.0,229700.0,1154259515.0,1222
4968.T,2026-06-01,1450.0,1450.0,69100.0,87037365.0,1222
4970.T,2026-06-01,16580.0,16580.0,47200.0,988293166.6666666,1222
4971.T,2026-06-01,11100.0,11100.0,335400.0,2863908933.3333335,1222
