code,ticker,company_name,sector_33,is_financial_like,liquidity_passed,missing_financial_data,low_equity_ratio,repeated_operating_loss,repeated_negative_operating_cf,excessive_leverage,extreme_valuation_outlier,extreme_profitability_outlier,other_data_quality_issue,investment_eligible,exclusion_reasons
3252,3252.T,地主株式会社,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3267,3267.T,株式会社フィル・カンパニー,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3284,3284.T,株式会社フージャースホールディングス,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3291,3291.T,飯田グループホールディングス株式会社,Real Estate,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3294,3294.T,株式会社イーグランド,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3315,3315.T,日本コークス工業株式会社,Oil and Coal Products,False,True,False,False,True,True,False,False,False,False,False,repeated_operating_loss;repeated_negative_operating_cf
3323,3323.T,レカム株式会社,Wholesale Trade,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3370,3370.T,株式会社フジタコーポレーション,Retail Trade,False,True,False,True,False,False,True,False,False,False,False,low_equity_ratio;excessive_leverage
3387,3387.T,株式会社クリエイト・レストランツ・ホールディングス,Retail Trade,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3397,3397.T,株式会社トリドールホールディングス,Retail Trade,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3402,3402.T,東レ株式会社,Textiles and Apparels,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3444,3444.T,株式会社菊池製作所,Metal Products,False,True,False,False,True,True,False,False,False,False,False,repeated_operating_loss;repeated_negative_operating_cf
3447,3447.T,信和株式会社,Metal Products,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3465,3465.T,ケイアイスター不動産株式会社,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3467,3467.T,アグレ都市デザイン株式会社,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3475,3475.T,株式会社グッドコムアセット,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3482,3482.T,ロードスターキャピタル株式会社,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3489,3489.T,株式会社フェイスネットワーク,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3491,3491.T,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,Real Estate,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3498,3498.T,霞ヶ関キャピタル株式会社,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
