code,ticker,company_name,market,sector_33,investment_eligible,profitability_score,cash_generation_score,stability_score,competitive_position_score,moat_score,transformation_score,future_moat_score,valuation_score,momentum_score,risk_score,adjusted_bb_score
8366,8366.T,"THE SHIGA BANK,LTD.",Prime Market (Domestic),Banks,True,-0.12769342286614926,-0.12769342286614926,-0.0025068267830431245,0.6429425138742176,0.051471083698545375,-0.07661605371968956,-0.411080513804854,0.0,0.5720711477418038,-0.4136865141103971,-0.028461076276594888
8367,8367.T,"The Nanto Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.10725028662779525,-0.10725028662779525,0.13437569129337493,0.4510142808390665,0.052727822449811154,-0.06435017197667715,-0.411080513804854,0.0,1.3149365510544495,-0.67412924631185,0.0753132293359478
8368,8368.T,"The Hyakugo Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.13161823774118242,-0.13161823774118242,0.06728255066659894,0.6438734346715683,0.06326025442292403,-0.07897094264470945,-0.411080513804854,0.0,2.579977813502186,-0.5366342407593689,0.18757239195039915
8370,8370.T,"The Kiyo Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.01263811585298043,-0.01263811585298043,0.16106931035701263,0.3639813017919567,0.09742725291800561,-0.007582869511788258,-0.411080513804854,0.0,0.7170555121843644,-0.8451593261949253,0.06022978819392738
8377,8377.T,"Hokuhoku Financial Group, Inc.",Prime Market (Domestic),Banks,True,0.8287735958944653,-0.05426358020167518,0.07170305176787911,0.892131981520022,0.4692718701702243,-0.03255814812100511,-0.411080513804854,0.0,1.7630170159920258,-0.3087869935513092,0.21649827083369333
8381,8381.T,"The San-in Godo Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.09406934766519996,-0.09406934766519996,0.0966026458834683,0.5748522203528603,0.07784936464814575,-0.05644160859911998,-0.411080513804854,0.0,0.45862974069311624,-0.5575033020924783,-0.012466442618233008
8383,8383.T,"THE TOTTORI BANK,LTD.",Standard Market(Domestic),Banks,True,-0.1915392062305533,-0.1915392062305533,0.4270621903998213,-0.49394619479559987,-0.1283003246174877,-0.11492352373833198,-0.411080513804854,0.0,-0.05903061042205051,-0.9372683751381777,-0.1027213559896728
8386,8386.T,"The Hyakujushi Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.13035153424518367,-0.13035153424518367,0.06637084446385806,0.48446750966784285,0.03195675027922998,-0.07821092054711021,-0.411080513804854,0.0,2.290635990478093,-0.5316984456874653,0.14894358442209105
8387,8387.T,"The Shikoku Bank, Ltd.",Prime Market (Domestic),Banks,True,-0.12420083881508508,-0.12420083881508508,0.21030314946128273,0.15097055568973863,-0.0022657622588467714,-0.07452050328905105,-0.411080513804854,0.0,2.0025977243290334,-0.7720329696054695,0.13482906075207732
8388,8388.T,"The Awa Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.13976198979093118,-0.13976198979093118,0.1413407393779875,0.3692302640318606,0.018257006807410922,-0.08385719387455871,-0.411080513804854,0.0,1.985252158902097,-0.7463508878586507,0.1343489541082022
8392,8392.T,"THE OITA BANK,LTD.",Prime Market (Domestic),Banks,True,-0.15357583327890287,-0.15357583327890287,0.05990386084677487,0.3370771402802564,-0.012749299741935463,-0.09214549996734173,-0.411080513804854,0.0,3.384746780803169,-0.561539916560901,0.2444433506805348
8393,8393.T,"The Miyazaki Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.0887865251014251,-0.0887865251014251,0.09767796543457181,0.31468599179637724,0.029200876385334765,-0.05327191506085506,-0.411080513804854,0.0,3.0976104292936038,-0.5915926830158366,0.24103844123987453
8395,8395.T,THE BANK OF SAGA LTD.,Prime Market (Domestic),Banks,True,-0.04847604468353637,-0.04847604468353637,0.11694251394729178,0.038743234343468845,0.0020515228480303075,-0.029085626810121824,-0.411080513804854,0.0,2.1194966549613095,-0.4156263662559273,0.12353219813214611
8399,8399.T,"Bank of The Ryukyus,Limited",Prime Market (Domestic),Banks,True,-0.14065987376781594,-0.14065987376781594,0.1560088442844785,0.11396012417531037,-0.03040213056873179,-0.08439592426068958,-0.411080513804854,0.0,1.8227172914544796,-0.6055810050271258,0.0892860552709124
8410,8410.T,"Seven Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.033663167082391705,-0.033663167082391705,0.4239207531115185,0.3728951854900162,0.13916528747087192,-0.020197900249435023,-0.411080513804854,0.0,-0.37006304320274097,-0.8818178309788349,-0.03544856418494399
8411,8411.T,"Mizuho Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.10524431369936933,-0.16860165926450313,0.3596683089579125,2.20058366359307,0.5067354894888499,-0.2974847590846417,-0.411080513804854,-0.4084585521497474,1.118226466952611,-0.4445302467191498,0.04933219147875232
8416,8416.T,"THE BANK OF KOCHI,LTD.",Standard Market(Domestic),Banks,True,-0.2366448254348483,-0.2366448254348483,-0.026271620163819145,-0.4791431444447574,-0.24306984818262428,-0.141986895260909,-0.411080513804854,0.0,0.3890004800193671,-0.2641545584489046,-0.16642632856464354
8418,8418.T,"Yamaguchi Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.1027680903544846,-0.0654485215883173,1.0446146598256338,0.7739063133339439,0.3833108958589059,-0.039269112952990376,-0.411080513804854,0.0,0.8890889047489542,-0.5430071342673194,0.12506144027959532
8424,8424.T,"Fuyo General Lease Co.,Ltd.",Prime Market (Domestic),Other Financing Business,True,-0.175906193939639,0.07089353798952776,0.11932707681958803,0.4701020520928954,0.07404204240100498,0.04253612279371666,-0.411080513804854,0.0,-0.24686732678060527,-0.7991079368949743,-0.03525344971128863
8425,8425.T,"Mizuho Leasing Company,Limited",Prime Market (Domestic),Other Financing Business,True,-0.0831460752814916,0.16512113948314652,0.291480385214063,0.4033403964581976,0.1511433148567167,0.09907268368988792,-0.411080513804854,0.0,0.11090640730986251,-0.9172081084037613,0.04959846280939318
8439,8439.T,Tokyo Century Corporation,Prime Market (Domestic),Other Financing Business,True,-0.21347888869006482,0.03319487995323981,-0.08047613644771306,0.7775840781940384,0.07300269729605237,0.019916927971943887,-0.411080513804854,0.0,0.35877853644694413,-0.32373170447337773,-0.028193088867622326
